date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:19:56	24/24	---M--	200	added ('OK')	text/plain	etag:%2261c87dcf-18%22	https://asparagus.ae/robots.txt		(from )
03:19:57	358/358	---MC-	302	error ('Found')	text/html	date:Sun,%2007%20May%202023%2023:19:57%20GMT	https://asparagus.ae/	asparagus.ae/index.html	(from )
03:19:58	213089/213089	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20May%202023%2023:19:57%20GMT	https://asparagus.ae/ar/home	asparagus.ae/ar/home.html	(from https://asparagus.ae/)
03:19:58	80015/80015	---M--	200	added ('OK')	image/svg+xml	etag:%2261cce7fd-1388f%22	https://asparagus.ae/images/logo/logo_icon.svg	asparagus.ae/images/logo/logo_icon.svg	(from https://asparagus.ae/ar/home)
03:19:59	54868/54868	---M--	200	added ('OK')	text/css	etag:%22637da81f-d654%22	https://asparagus.ae/css/app.css?id=71bc72af1ed89bf18aa3	asparagus.ae/css/app2247.css	(from https://asparagus.ae/ar/home)
03:20:00	2509/2509	---M--	200	added ('OK')	text/css	etag:%22629c18a5-9cd%22	https://asparagus.ae/css/app-rtl.css?id=19b2a2ee2172de745c35	asparagus.ae/css/app-rtle8c5.css	(from https://asparagus.ae/ar/home)
03:20:02	212846/212846	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20May%202023%2023:20:01%20GMT	https://asparagus.ae/ar/home?ar	asparagus.ae/ar/homec582.html	(from https://asparagus.ae/ar/home)
03:20:03	126219/126219	---M--	200	added ('OK')	image/svg+xml	etag:%2261dc6a25-1ed0b%22	https://asparagus.ae/images/logo/logo_ar.svg	asparagus.ae/images/logo/logo_ar.svg	(from https://asparagus.ae/ar/home)
03:20:04	181076/181076	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20May%202023%2023:20:03%20GMT	https://asparagus.ae/ar/about	asparagus.ae/ar/about.html	(from https://asparagus.ae/ar/home)
03:20:05	160305/160305	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20May%202023%2023:20:04%20GMT	https://asparagus.ae/ar/mealplans	asparagus.ae/ar/mealplans.html	(from https://asparagus.ae/ar/home)
03:20:06	160736/160736	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20May%202023%2023:20:05%20GMT	https://asparagus.ae/ar/contact	asparagus.ae/ar/contact.html	(from https://asparagus.ae/ar/home)
03:20:07	223676/223676	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20May%202023%2023:20:06%20GMT	https://asparagus.ae/en/home	asparagus.ae/en/home.html	(from https://asparagus.ae/ar/home)
03:20:07	6298/6298	---M--	200	added ('OK')	image/svg+xml	etag:%2261cce7fd-189a%22	https://asparagus.ae/images/icons/en.svg	asparagus.ae/images/icons/en.svg	(from https://asparagus.ae/ar/home)
03:20:09	490558/490558	---M--	200	added ('OK')	image/jpeg	etag:%226226b6b7-77c3e%22	https://asparagus.ae/storage/system/sliders/AH23QHPj3KaCRjStCsNbwVO9QvMKmEJlBntZSwei.jpg	asparagus.ae/storage/system/sliders/AH23QHPj3KaCRjStCsNbwVO9QvMKmEJlBntZSwei.jpg	(from https://asparagus.ae/ar/home)
03:20:10	178163/178163	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20May%202023%2023:20:09%20GMT	https://asparagus.ae/ar/menu/main-course/herbed-roasted-salmon	asparagus.ae/ar/menu/main-course/herbed-roasted-salmon.html	(from https://asparagus.ae/ar/home)
03:20:11	191210/191210	---M--	200	added ('OK')	image/jpeg	etag:%2262c582ed-2eaea%22	https://asparagus.ae/storage/system/sliders/z6hI2W6cWUl0aT9hcuoXKZ80oAjhWcx4S8rWi75J.jpg	asparagus.ae/storage/system/sliders/z6hI2W6cWUl0aT9hcuoXKZ80oAjhWcx4S8rWi75J.jpg	(from https://asparagus.ae/ar/home)
03:20:12	176734/176734	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20May%202023%2023:20:11%20GMT	https://asparagus.ae/ar/menu/breakfast/french-toast	asparagus.ae/ar/menu/breakfast/french-toast.html	(from https://asparagus.ae/ar/home)
03:20:13	219700/219700	---M--	200	added ('OK')	image/jpeg	etag:%22637cd8f0-35a34%22	https://asparagus.ae/storage/system/sliders/zE1SrM8C6fyo6Fb9yXQ2xeU9f16EZq1c2g1o4Aq0.jpg	asparagus.ae/storage/system/sliders/zE1SrM8C6fyo6Fb9yXQ2xeU9f16EZq1c2g1o4Aq0.jpg	(from https://asparagus.ae/ar/home)
03:20:14	176387/176387	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20May%202023%2023:20:13%20GMT	https://asparagus.ae/ar/menu/snack/mango-cheesecake	asparagus.ae/ar/menu/snack/mango-cheesecake.html	(from https://asparagus.ae/ar/home)
03:20:15	485788/485788	---M--	200	added ('OK')	image/jpeg	etag:%226447a8c9-7699c%22	https://asparagus.ae/storage/system/sliders/J3h7SBE8aeFvbdXdiRUuD01lFrGxs1UwQyX70iJ7.jpg	asparagus.ae/storage/system/sliders/J3h7SBE8aeFvbdXdiRUuD01lFrGxs1UwQyX70iJ7.jpg	(from https://asparagus.ae/ar/home)
03:20:16	172348/172348	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20May%202023%2023:20:15%20GMT	https://asparagus.ae/ar/menu/salad/chicken-salad	asparagus.ae/ar/menu/salad/chicken-salad.html	(from https://asparagus.ae/ar/home)
03:20:17	471549/471549	---M--	200	added ('OK')	image/jpeg	etag:%226226b6b7-731fd%22	https://asparagus.ae/storage/system/sliders/mobilePWi8vVjZOoMOqD4mQ59BOYZLmeoiyhr7c1jLbJwg.jpg	asparagus.ae/storage/system/sliders/mobilePWi8vVjZOoMOqD4mQ59BOYZLmeoiyhr7c1jLbJwg.jpg	(from https://asparagus.ae/ar/home)
03:20:18	190578/190578	---M--	200	added ('OK')	image/jpeg	etag:%2262c582ed-2e872%22	https://asparagus.ae/storage/system/sliders/mobilePJDWKEWhRuAZugd3HUh6GcJmFCMiemwiQCOrDftL.jpg	asparagus.ae/storage/system/sliders/mobilePJDWKEWhRuAZugd3HUh6GcJmFCMiemwiQCOrDftL.jpg	(from https://asparagus.ae/ar/home)
03:20:19	189078/189078	---M--	200	added ('OK')	image/jpeg	etag:%22637cd8f0-2e296%22	https://asparagus.ae/storage/system/sliders/mobilewG3VvdmAeiHvXPAuEQtdW3AIF4pcdlqtJUoYPPJG.jpg	asparagus.ae/storage/system/sliders/mobilewG3VvdmAeiHvXPAuEQtdW3AIF4pcdlqtJUoYPPJG.jpg	(from https://asparagus.ae/ar/home)
